,index,LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Value
174,174,CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1985,1985,USD,US Dollar,0,Units,16332.753014
175,175,CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1986,1986,USD,US Dollar,0,Units,16850.72864
176,176,CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1987,1987,USD,US Dollar,0,Units,17735.380134
177,177,CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1988,1988,USD,US Dollar,0,Units,18923.753759
178,178,CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1989,1989,USD,US Dollar,0,Units,19763.483895
179,179,CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1990,1990,USD,US Dollar,0,Units,20229.752818
180,180,CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1991,1991,USD,US Dollar,0,Units,20224.680588
181,181,CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1992,1992,USD,US Dollar,0,Units,20626.20897
182,182,CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1993,1993,USD,US Dollar,0,Units,21440.052531
183,183,CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1994,1994,USD,US Dollar,0,Units,22632.831256
184,184,CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1995,1995,USD,US Dollar,0,Units,23485.643436
185,185,CAN,Canada,T_GDPPOP,GDP per head of population,CPC,"USD, current prices, current PPPs",1996,1996,USD,US Dollar,0,Units,24050.176125
